Site_id	Site_name	Parameters	Axis_title
433522112582101	SITE 19	CL, Na, SO4	Concentration, in milligrams per liter
433252112520301	SPERT 1	CL, Na	Concentration, in milligrams per liter
433252112520301	SPERT 1	NO3+NO2	Concentration, in milligrams per liter
433521112573801	TRA 1	CL, Na, SO4	Concentration, in milligrams per liter
433522112573501	TRA 3	CL, Na, SO4	Concentration, in milligrams per liter
433521112574201	TRA 4	CL, Na, SO4	Concentration, in milligrams per liter
432700112470801	USGS 1	CL, Na	Concentration, in milligrams per liter
432700112470801	USGS 1	NO3+NO2, TOC	Concentration, in milligrams per liter
433320112432301	USGS 2	CL, Na, SO4	Concentration, in milligrams per liter
433320112432301	USGS 2	NO3+NO2	Concentration, in milligrams per liter
434657112282201	USGS 4	CL, Na	Concentration, in milligrams per liter
434657112282201	USGS 4	NO3+NO2, TOC	Concentration, in milligrams per liter
433543112493801	USGS 5	CL, Na	Concentration, in milligrams per liter
